market_name,city,Geography,state
Alabama North,Albertville,Marshall County (AL),AL
Alabama North,Arab,Marshall County (AL),AL
Alabama North,Athens,Limestone County (AL),AL
Alabama North,Athens,,AL
Alabama North,Boaz,,AL
Alabama North,Cullman,Cullman County (AL),AL
Alabama North,Decatur,Morgan County (AL),AL
Alabama North,Florence,Lauderdale County (AL),AL
Alabama North,Fort Payne,DeKalb County (AL),AL
Alabama North,Gadsden,Etowah County (AL),AL
Alabama North,Gadsden,,AL
Alabama North,Hanceville,Cullman County (AL),AL
Alabama North,Huntsville,Madison County (AL),AL
Alabama North,Huntsville,,AL
Alabama North,Jasper,Walker County (AL),AL
Alabama North,Jasper,,AL
Alabama North,Lincoln,Talladega County (AL),AL
Alabama North,Madison,Madison County (AL),AL
Alabama North,Madison,,AL
Alabama North,Northport,Tuscaloosa County (AL),AL
Alabama North,Oxford,Calhoun County (AL),AL
Alabama North,Scottsboro,Jackson County (AL),AL
Alabama North,Sheffield,,AL
Alabama North,Sylacauga,Talladega County (AL),AL
Alabama North,Tuscaloosa,Tuscaloosa County (AL),AL
Alabama North,Tuscaloosa,,AL
Alabama North,Tuscumbia,Colbert County (AL),AL
Alabama South,Alexander City,Tallapoosa County (AL),AL
Alabama South,Andalusia,Covington County (AL),AL
Alabama South,Auburn,Lee County (AL),AL
Alabama South,Daleville,Dale County (AL),AL
Alabama South,Demopolis,Marengo County (AL),AL
Alabama South,Dothan,Houston County (AL),AL
Alabama South,Enterprise,Coffee County (AL),AL
Alabama South,Eufaula,Barbour County (AL),AL
Alabama South,Eutaw,Greene County (AL),AL
Alabama South,Evergreen,Conecuh County (AL),AL
Alabama South,Greenville,Butler County (AL),AL
Alabama South,Lanett,Chambers County (AL),AL
Alabama South,Livingston,Sumter County (AL),AL
Alabama South,Marion,Perry County (AL),AL
Alabama South,Millbrook,Elmore County (AL),AL
Alabama South,Millbrook,,AL
Alabama South,Montgomery,Montgomery County (AL),AL
Alabama South,Montgomery,,AL
Alabama South,Opelika,Lee County (AL),AL
Alabama South,Phenix City,Russell County (AL),AL
Alabama South,Phenix City,,AL
Alabama South,Prattville,Autauga County (AL),AL
Alabama South,Selma,Dallas County (AL),AL
Alabama South,Thomasville,Clarke County (AL),AL
Alabama South,Troy,Pike County (AL),AL
Alabama South,Valley,,AL
Alaska,Anchorage,Anchorage Borough (AK),AK
Alaska,Fairbanks,,AK
Alaska,Kenai,Kenai Peninsula Borough (AK),AK
Alaska,Kodiak,Kodiak Island Borough (AK),AK
"Albany/Schenectady, NY",Albany,Albany County (NY),NY
"Albany/Schenectady, NY",Castleton,Rensselaer County (NY),NY
"Albany/Schenectady, NY",Cohoes,Albany County (NY),NY
"Albany/Schenectady, NY",Glenmont,Albany County (NY),NY
"Albany/Schenectady, NY",Glenmont,,NY
"Albany/Schenectady, NY",Latham,Albany County (NY),NY
"Albany/Schenectady, NY",Saratoga Springs,Saratoga County (NY),NY
"Albany/Schenectady, NY",Schenectady,Schenectady County (NY),NY
"Albany/Schenectady, NY",Schenectady,,NY
"Albany/Schenectady, NY",Schoharie,,NY
"Albuquerque, NM",Albuquerque,Bernalillo County (NM),NM
"Albuquerque, NM",Albuquerque,,NM
"Albuquerque, NM",Los Lunas,,NM
"Albuquerque, NM",Rio Rancho,Sandoval County (NM),NM
"Allentown & Reading, PA",Allentown,Lehigh County (PA),PA
"Allentown & Reading, PA",Allentown,,PA
"Allentown & Reading, PA",Bethel,Berks County (PA),PA
"Allentown & Reading, PA",Bethlehem,Northampton County (PA),PA
"Allentown & Reading, PA",Bethlehem,,PA
"Allentown & Reading, PA",Douglassville,Berks County (PA),PA
"Allentown & Reading, PA",Easton,Northampton County (PA),PA
"Allentown & Reading, PA",Frackville,Schuylkill County (PA),PA
"Allentown & Reading, PA",Pine Grove,Schuylkill County (PA),PA
"Allentown & Reading, PA",Reading,Berks County (PA),PA
"Allentown & Reading, PA",Wyomissing,Berks County (PA),PA
"Anaheim/Santa Ana, CA",Anaheim,Orange County (CA),CA
"Anaheim/Santa Ana, CA",Anaheim,,CA
"Anaheim/Santa Ana, CA",Buena Park,Orange County (CA),CA
"Anaheim/Santa Ana, CA",Buena Park,,CA
"Anaheim/Santa Ana, CA",Costa Mesa,,CA
"Anaheim/Santa Ana, CA",Cypress,Orange County (CA),CA
"Anaheim/Santa Ana, CA",Huntington Beach,Orange County (CA),CA
"Anaheim/Santa Ana, CA",Huntington Beach,,CA
"Anaheim/Santa Ana, CA",Laguna Hills,Orange County (CA),CA
"Anaheim/Santa Ana, CA",Lake Forest,Orange County (CA),CA
"Anaheim/Santa Ana, CA",Placentia,Orange County (CA),CA
"Anaheim/Santa Ana, CA",San Clemente,Orange County (CA),CA
"Anaheim/Santa Ana, CA",San Clemente,,CA
"Anaheim/Santa Ana, CA",Santa Ana,Orange County (CA),CA
"Anaheim/Santa Ana, CA",Westminster,,CA
Arizona Area,Benson,Cochise County (AZ),AZ
Arizona Area,Benson,,AZ
Arizona Area,Camp Verde,Yavapai County (AZ),AZ
Arizona Area,Douglas,,AZ
Arizona Area,El Centro,Imperial County (CA),CA
Arizona Area,El Centro,,CA
Arizona Area,Flagstaff,Coconino County (AZ),AZ
Arizona Area,Flagstaff,,AZ
Arizona Area,Holbrook,Navajo County (AZ),AZ
Arizona Area,Holbrook,,AZ
Arizona Area,Imperial,Imperial County (CA),CA
Arizona Area,Lakeside,,AZ
Arizona Area,Nogales,Santa Cruz County (AZ),AZ
Arizona Area,Page,Coconino County (AZ),AZ
Arizona Area,Parker,La Paz County (AZ),AZ
Arizona Area,Payson,Gila County (AZ),AZ
Arizona Area,Pinetop,Navajo County (AZ),AZ
Arizona Area,Prescott,Yavapai County (AZ),AZ
Arizona Area,Prescott Valley,Yavapai County (AZ),AZ
Arizona Area,Safford,Graham County (AZ),AZ
Arizona Area,Sedona,Yavapai County (AZ),AZ
Arizona Area,Show Low,,AZ
Arizona Area,Sierra Vista,Cochise County (AZ),AZ
Arizona Area,Sierra Vista,,AZ
Arizona Area,Taylor,Navajo County (AZ),AZ
Arizona Area,Thatcher,Graham County (AZ),AZ
Arizona Area,Tuba City,Coconino County (AZ),AZ
Arizona Area,Williams,Coconino County (AZ),AZ
Arizona Area,Williams,,AZ
Arizona Area,Window Rock,Apache County (AZ),AZ
Arizona Area,Winslow,Navajo County (AZ),AZ
Arizona Area,Yuma,Yuma County (AZ),AZ
Arizona Area,Yuma,,AZ
Arkansas Area,Alma,Crawford County (AR),AR
Arkansas Area,Arkadelphia,Clark County (AR),AR
Arkansas Area,Arkadelphia,,AR
Arkansas Area,Batesville,Independence County (AR),AR
Arkansas Area,Beebe,,AR
Arkansas Area,Bentonville,Benton County (AR),AR
Arkansas Area,Bentonville,,AR
Arkansas Area,Blytheville,Mississippi County (AR),AR
Arkansas Area,Brinkley,Monroe County (AR),AR
Arkansas Area,Camden,Ouachita County (AR),AR
Arkansas Area,Camden,,AR
Arkansas Area,Clarksville,Johnson County (AR),AR
Arkansas Area,El Dorado,Union County (AR),AR
Arkansas Area,Eureka Springs,Carroll County (AR),AR
Arkansas Area,Eureka Springs,,AR
Arkansas Area,Fayetteville,Washington County (AR),AR
Arkansas Area,Fayetteville,,AR
Arkansas Area,Forrest City,St. Francis County (AR),AR
Arkansas Area,Forrest City,,AR
Arkansas Area,Fort Smith,Sebastian County (AR),AR
Arkansas Area,Fort Smith,,AR
Arkansas Area,Harrison,Boone County (AR),AR
Arkansas Area,Heber Springs,Cleburne County (AR),AR
Arkansas Area,Hot Springs,Garland County (AR),AR
Arkansas Area,Hot Springs,,AR
Arkansas Area,Jonesboro,Craighead County (AR),AR
Arkansas Area,Jonesboro,,AR
Arkansas Area,Magnolia,Columbia County (AR),AR
Arkansas Area,Malvern,Hot Spring County (AR),AR
Arkansas Area,Mountain Home,Baxter County (AR),AR
Arkansas Area,Nashville,,AR
Arkansas Area,Osceola,Mississippi County (AR),AR
Arkansas Area,Paragould,Greene County (AR),AR
Arkansas Area,Pine Bluff,Jefferson County (AR),AR
Arkansas Area,Pine Bluff,,AR
Arkansas Area,Rogers,Benton County (AR),AR
Arkansas Area,Russellville,Pope County (AR),AR
Arkansas Area,Russellville,,AR
Arkansas Area,Searcy,White County (AR),AR
Arkansas Area,Searcy,,AR
Arkansas Area,Siloam Springs,Benton County (AR),AR
Arkansas Area,Springdale,Washington County (AR),AR
Arkansas Area,Springdale,,AR
Arkansas Area,Stuttgart,,AR
Arkansas Area,Texarkana,Miller County (AR),AR
Arkansas Area,Van Buren,Crawford County (AR),AR
"Atlanta, GA",Acworth,Cobb County (GA),GA
"Atlanta, GA",Acworth,,GA
"Atlanta, GA",Adairsville,Bartow County (GA),GA
"Atlanta, GA",Alpharetta,Fulton County (GA),GA
"Atlanta, GA",Alpharetta,,GA
"Atlanta, GA",Atlanta,DeKalb County (GA),GA
"Atlanta, GA",Atlanta,Fulton County (GA),GA
"Atlanta, GA",Atlanta,,GA
"Atlanta, GA",Austell,Cobb County (GA),GA
"Atlanta, GA",Canton,Cherokee County (GA),GA
"Atlanta, GA",Canton,,GA
"Atlanta, GA",Carrollton,Carroll County (GA),GA
"Atlanta, GA",Cartersville,Bartow County (GA),GA
"Atlanta, GA",Cartersville,,GA
"Atlanta, GA",College Park,Fulton County (GA),GA
"Atlanta, GA",College Park,,GA
"Atlanta, GA",Conley,Clayton County (GA),GA
"Atlanta, GA",Conyers,Rockdale County (GA),GA
"Atlanta, GA",Conyers,,GA
"Atlanta, GA",Cumming,Forsyth County (GA),GA
"Atlanta, GA",Decatur,DeKalb County (GA),GA
"Atlanta, GA",Douglasville,Douglas County (GA),GA
"Atlanta, GA",Duluth,Gwinnett County (GA),GA
"Atlanta, GA",Emerson,,GA
"Atlanta, GA",Fayetteville,,GA
"Atlanta, GA",Forest Park,Clayton County (GA),GA
"Atlanta, GA",Forest Park,,GA
"Atlanta, GA",Griffin,Spalding County (GA),GA
"Atlanta, GA",Griffin,,GA
"Atlanta, GA",Hiram,Paulding County (GA),GA
"Atlanta, GA",Jonesboro,Clayton County (GA),GA
"Atlanta, GA",Kennesaw,Cobb County (GA),GA
"Atlanta, GA",Lawrenceville,Gwinnett County (GA),GA
"Atlanta, GA",Lithia Springs,,GA
"Atlanta, GA",Lithonia,,GA
"Atlanta, GA",Locust Grove,Henry County (GA),GA
"Atlanta, GA",Loganville,,GA
"Atlanta, GA",Marietta,Cobb County (GA),GA
"Atlanta, GA",Marietta,,GA
"Atlanta, GA",McDonough,Henry County (GA),GA
"Atlanta, GA",McDonough,,GA
"Atlanta, GA",Mcdonough,Henry County (GA),GA
"Atlanta, GA",Mcdonough,,GA
"Atlanta, GA",Morrow,Clayton County (GA),GA
"Atlanta, GA",Morrow,,GA
"Atlanta, GA",Newnan,Coweta County (GA),GA
"Atlanta, GA",Newnan,,GA
"Atlanta, GA",Norcross,,GA
"Atlanta, GA",Peachtree City,Fayette County (GA),GA
"Atlanta, GA",Peachtree Corners,Gwinnett County (GA),GA
"Atlanta, GA",Roswell,,GA
"Atlanta, GA",Smyrna,Cobb County (GA),GA
"Atlanta, GA",Stockbridge,Henry County (GA),GA
"Atlanta, GA",Stockbridge,,GA
"Atlanta, GA",Stone Mountain,DeKalb County (GA),GA
"Atlanta, GA",Stone Mountain,,GA
"Atlanta, GA",Suwanee,Gwinnett County (GA),GA
"Atlanta, GA",Tucker,DeKalb County (GA),GA
"Atlanta, GA",Union City,Fulton County (GA),GA
"Atlanta, GA",Villa Rica,Carroll County (GA),GA
"Atlanta, GA",Villa Rica,,GA
"Atlanta, GA",Winder,,GA
"Atlanta, GA",Woodstock,Cherokee County (GA),GA
"Augusta, GA-SC",Aiken,Aiken County (SC),SC
"Augusta, GA-SC",Augusta,Columbia County (GA),GA
"Augusta, GA-SC",Augusta,Richmond County (GA),GA
"Augusta, GA-SC",Augusta,,GA
"Augusta, GA-SC",Edgefield,,SC
"Augusta, GA-SC",Hephzibah,,GA
"Augusta, GA-SC",North Augusta,Aiken County (SC),SC
"Augusta, GA-SC",Thomson,McDuffie County (GA),GA
"Austin, TX",Austin,Travis County (TX),TX
"Austin, TX",Austin,,TX
"Austin, TX",Bastrop,Bastrop County (TX),TX
"Austin, TX",Buda,Hays County (TX),TX
"Austin, TX",Cedar Park,Williamson County (TX),TX
"Austin, TX",Cedar Park,,TX
"Austin, TX",Del Valle,Travis County (TX),TX
"Austin, TX",Dripping Springs,Hays County (TX),TX
"Austin, TX",Georgetown,Williamson County (TX),TX
"Austin, TX",Georgetown,,TX
"Austin, TX",Kyle,,TX
"Austin, TX",Pflugerville,Travis County (TX),TX
"Austin, TX",Round Rock,Williamson County (TX),TX
"Austin, TX",Round Rock,,TX
"Austin, TX",San Marcos,Hays County (TX),TX
"Austin, TX",San Marcos,,TX
"Baltimore, MD",Aberdeen,,MD
"Baltimore, MD",Annapolis,Anne Arundel County (MD),MD
"Baltimore, MD",Annapolis,,MD
"Baltimore, MD",Baltimore,Baltimore city (MD),MD
"Baltimore, MD",Baltimore,,MD
"Baltimore, MD",Catonsville,Baltimore County (MD),MD
"Baltimore, MD",Edgewood,Harford County (MD),MD
"Baltimore, MD",Elkridge,Howard County (MD),MD
"Baltimore, MD",Grasonville,Queen Anne's County (MD),MD
"Baltimore, MD",Hanover,,MD
"Baltimore, MD",Hunt Valley,Baltimore County (MD),MD
"Baltimore, MD",Jessup,Howard County (MD),MD
"Baltimore, MD",Laurel,Howard County (MD),MD
"Baltimore, MD",Towson,Baltimore County (MD),MD
"Baltimore, MD",White Marsh,,MD
"Baltimore, MD",Windsor Mill,,MD
"Bergen/Passaic, NJ",Carlstadt,Bergen County (NJ),NJ
"Bergen/Passaic, NJ",Edgewater,Bergen County (NJ),NJ
"Bergen/Passaic, NJ",Little Ferry,Bergen County (NJ),NJ
"Bergen/Passaic, NJ",Lyndhurst,Bergen County (NJ),NJ
"Bergen/Passaic, NJ",Mahwah,Bergen County (NJ),NJ
"Bergen/Passaic, NJ",Paramus,Bergen County (NJ),NJ
"Bergen/Passaic, NJ",Paterson,Passaic County (NJ),NJ
"Birmingham, AL",Bessemer,Jefferson County (AL),AL
"Birmingham, AL",Bessemer,,AL
"Birmingham, AL",Birmingham,Jefferson County (AL),AL
"Birmingham, AL",Birmingham,Shelby County (AL),AL
"Birmingham, AL",Birmingham,,AL
"Birmingham, AL",Calera,Shelby County (AL),AL
"Birmingham, AL",Fultondale,Jefferson County (AL),AL
"Birmingham, AL",Fultondale,,AL
"Birmingham, AL",Homewood,Jefferson County (AL),AL
"Birmingham, AL",Leeds,Jefferson County (AL),AL
"Birmingham, AL",Pelham,Shelby County (AL),AL
"Birmingham, AL",Pelham,,AL
"Birmingham, AL",Pell City,St. Clair County (AL),AL
"Birmingham, AL",Trussville,Jefferson County (AL),AL
"Boston, MA",Boston,Suffolk County (MA),MA
"Boston, MA",Boston,,MA
"Boston, MA",Brockton,Plymouth County (MA),MA
"Boston, MA",Danvers,,MA
"Boston, MA",Everett,,MA
"Boston, MA",Foxboro,Norfolk County (MA),MA
"Boston, MA",Framingham,Middlesex County (MA),MA
"Boston, MA",Lexington,Middlesex County (MA),MA
"Boston, MA",Malden,Middlesex County (MA),MA
"Boston, MA",Marlborough,Middlesex County (MA),MA
"Boston, MA",Middleboro,,MA
"Boston, MA",Newburyport,,MA
"Boston, MA",Randolph,Norfolk County (MA),MA
"Boston, MA",Revere,Suffolk County (MA),MA
"Boston, MA",Revere,,MA
"Boston, MA",Rockland,Plymouth County (MA),MA
"Boston, MA",Saugus,,MA
"Boston, MA",Sharon,Norfolk County (MA),MA
"Boston, MA",Woburn,Middlesex County (MA),MA
"Buffalo, NY",Amherst,Erie County (NY),NY
"Buffalo, NY",Buffalo,Erie County (NY),NY
"Buffalo, NY",Cheektowaga,Erie County (NY),NY
"Buffalo, NY",Clarence,,NY
"Buffalo, NY",Hamburg,Erie County (NY),NY
"Buffalo, NY",Lockport,Niagara County (NY),NY
"Buffalo, NY",Niagara Falls,Niagara County (NY),NY
"Buffalo, NY",Niagara Falls,,NY
"Buffalo, NY",Tonawanda,Erie County (NY),NY
California Central Coast,Buellton,Santa Barbara County (CA),CA
California Central Coast,Camarillo,Ventura County (CA),CA
California Central Coast,Carmel,Monterey County (CA),CA
California Central Coast,Carmel By The Sea,Monterey County (CA),CA
California Central Coast,King City,Monterey County (CA),CA
California Central Coast,Marina,Monterey County (CA),CA
California Central Coast,Monterey,Monterey County (CA),CA
California Central Coast,Morro Bay,San Luis Obispo County (CA),CA
California Central Coast,Pacific Grove,Monterey County (CA),CA
California Central Coast,Paso Robles,,CA
California Central Coast,Pismo Beach,San Luis Obispo County (CA),CA
California Central Coast,Salinas,Monterey County (CA),CA
California Central Coast,San Luis Obispo,San Luis Obispo County (CA),CA
California Central Coast,San Simeon,San Luis Obispo County (CA),CA
California Central Coast,Santa Barbara,Santa Barbara County (CA),CA
California Central Coast,Seaside,Monterey County (CA),CA
California Central Coast,Thousand Oaks,Ventura County (CA),CA
California Central Coast,Ventura,Ventura County (CA),CA
California North,Anderson,Shasta County (CA),CA
California North,Arcata,,CA
California North,Calistoga,Napa County (CA),CA
California North,Chico,Butte County (CA),CA
California North,Corning,Tehama County (CA),CA
California North,Crescent City,Del Norte County (CA),CA
California North,Davis,Yolo County (CA),CA
California North,Eureka,Humboldt County (CA),CA
California North,Fairfield,Solano County (CA),CA
California North,Fortuna,Humboldt County (CA),CA
California North,Grass Valley,,CA
California North,Marysville,Yuba County (CA),CA
California North,Napa,,CA
California North,Petaluma,Sonoma County (CA),CA
California North,Petaluma,,CA
California North,Red Bluff,Tehama County (CA),CA
California North,Redding,Shasta County (CA),CA
California North,Rohnert Park,Sonoma County (CA),CA
California North,Santa Rosa,Sonoma County (CA),CA
California North,Ukiah,Mendocino County (CA),CA
California North,Vacaville,Solano County (CA),CA
California North,Vallejo,Solano County (CA),CA
California North,Weed,Siskiyou County (CA),CA
California North,Williams,Colusa County (CA),CA
California North,Willits,Mendocino County (CA),CA
California North,Woodland,Yolo County (CA),CA
California North,Yreka,Siskiyou County (CA),CA
California North,Yuba City,Sutter County (CA),CA
California North Central,Lathrop,San Joaquin County (CA),CA
California North Central,Lodi,San Joaquin County (CA),CA
California North Central,Mammoth Lakes,Mono County (CA),CA
California North Central,Mariposa,Mariposa County (CA),CA
California North Central,Merced,Merced County (CA),CA
California North Central,Modesto,Stanislaus County (CA),CA
California North Central,San Juan Bautista,,CA
California North Central,Santa Nella,,CA
California North Central,Sonora,Tuolumne County (CA),CA
California North Central,Stockton,San Joaquin County (CA),CA
California North Central,Tracy,San Joaquin County (CA),CA
California North Central,Turlock,Stanislaus County (CA),CA
California South/Central,Bakersfield,Kern County (CA),CA
California South/Central,Bakersfield,,CA
California South/Central,Bishop,Inyo County (CA),CA
California South/Central,Bishop,,CA
California South/Central,Clovis,Fresno County (CA),CA
California South/Central,Delano,Kern County (CA),CA
California South/Central,Fresno,Fresno County (CA),CA
California South/Central,Fresno,,CA
California South/Central,Hanford,Kings County (CA),CA
California South/Central,Kettleman City,,CA
California South/Central,Lone Pine,Inyo County (CA),CA
California South/Central,Mojave,,CA
California South/Central,Oakhurst,Madera County (CA),CA
California South/Central,Oakhurst,,CA
California South/Central,Ridgecrest,Kern County (CA),CA
California South/Central,Ridgecrest,,CA
California South/Central,Three Rivers,Tulare County (CA),CA
California South/Central,Tulare,Tulare County (CA),CA
California South/Central,Visalia,Tulare County (CA),CA
Central New Jersey,Avenel,Middlesex County (NJ),NJ
Central New Jersey,East Brunswick,Middlesex County (NJ),NJ
Central New Jersey,East Windsor,Mercer County (NJ),NJ
Central New Jersey,Edison,Middlesex County (NJ),NJ
Central New Jersey,Jersey City,Hudson County (NJ),NJ
Central New Jersey,Lawrenceville,Mercer County (NJ),NJ
Central New Jersey,North Bergen,Hudson County (NJ),NJ
Central New Jersey,North Brunswick,Middlesex County (NJ),NJ
Central New Jersey,Princeton,Mercer County (NJ),NJ
Central New Jersey,Secaucus,Hudson County (NJ),NJ
Central New Jersey,Somerset,Somerset County (NJ),NJ
Central New Jersey,Somerset,,NJ
Central New Jersey,South Plainfield,,NJ
"Charleston, SC",Charleston,Charleston County (SC),SC
"Charleston, SC",Charleston,,SC
"Charleston, SC",Goose Creek,Berkeley County (SC),SC
"Charleston, SC",Mount Pleasant,Charleston County (SC),SC
"Charleston, SC",Mount Pleasant,,SC
"Charleston, SC",North Charleston,Charleston County (SC),SC
"Charleston, SC",North Charleston,Dorchester County (SC),SC
"Charleston, SC",North Charleston,,SC
"Charleston, SC",Saint George,Dorchester County (SC),SC
"Charleston, SC",Saint Stephen,Berkeley County (SC),SC
"Charleston, SC",Summerville,Dorchester County (SC),SC
"Charleston, SC",Summerville,,SC
"Charlotte, NC-SC",Charlotte,Mecklenburg County (NC),NC
"Charlotte, NC-SC",Charlotte,,NC
"Charlotte, NC-SC",Concord,Cabarrus County (NC),NC
"Charlotte, NC-SC",Concord,,NC
"Charlotte, NC-SC",Cornelius,Mecklenburg County (NC),NC
"Charlotte, NC-SC",Fort Mill,York County (SC),SC
"Charlotte, NC-SC",Fort Mill,,SC
"Charlotte, NC-SC",Gastonia,Gaston County (NC),NC
"Charlotte, NC-SC",Gastonia,,NC
"Charlotte, NC-SC",Huntersville,Mecklenburg County (NC),NC
"Charlotte, NC-SC",Kannapolis,Cabarrus County (NC),NC
"Charlotte, NC-SC",Lincolnton,Lincoln County (NC),NC
"Charlotte, NC-SC",Matthews,Mecklenburg County (NC),NC
"Charlotte, NC-SC",Matthews,,NC
"Charlotte, NC-SC",Monroe,Union County (NC),NC
"Charlotte, NC-SC",Pineville,Mecklenburg County (NC),NC
"Charlotte, NC-SC",Rock Hill,York County (SC),SC
"Charlotte, NC-SC",Rock Hill,,SC
"Charlotte, NC-SC",Salisbury,Rowan County (NC),NC
"Charlotte, NC-SC",Salisbury,,NC
"Chattanooga, TN-GA",Chattanooga,Hamilton County (TN),TN
"Chattanooga, TN-GA",Chattanooga,,TN
"Chattanooga, TN-GA",East Ridge,,TN
"Chattanooga, TN-GA",Fort Oglethorpe,,GA
"Chattanooga, TN-GA",Hixson,Hamilton County (TN),TN
"Chattanooga, TN-GA",Jasper,Marion County (TN),TN
"Chattanooga, TN-GA",Lafayette,,GA
"Chicago, IL",Addison,,IL
"Chicago, IL",Arlington Heights,,IL
"Chicago, IL",Aurora,DuPage County (IL),IL
"Chicago, IL",Bedford Park,Cook County (IL),IL
"Chicago, IL",Bolingbrook,Will County (IL),IL
"Chicago, IL",Carol Stream,,IL
"Chicago, IL",Chicago,Cook County (IL),IL
"Chicago, IL",Chicago,,IL
"Chicago, IL",Crystal Lake,McHenry County (IL),IL
"Chicago, IL",Darien,,IL
"Chicago, IL",Dekalb,,IL
"Chicago, IL",Des Plaines,Cook County (IL),IL
"Chicago, IL",Downers Grove,DuPage County (IL),IL
"Chicago, IL",Elgin,Kane County (IL),IL
"Chicago, IL",Elmhurst,DuPage County (IL),IL
"Chicago, IL",Evanston,Cook County (IL),IL
"Chicago, IL",Geneva,Kane County (IL),IL
"Chicago, IL",Grayslake,Lake County (IL),IL
"Chicago, IL",Gurnee,Lake County (IL),IL
"Chicago, IL",Harvey,Cook County (IL),IL
"Chicago, IL",Hoffman Estates,,IL
"Chicago, IL",Joliet,Will County (IL),IL
"Chicago, IL",Lake Bluff,Lake County (IL),IL
"Chicago, IL",Lansing,Cook County (IL),IL
"Chicago, IL",Lombard,DuPage County (IL),IL
"Chicago, IL",Lyons,Cook County (IL),IL
"Chicago, IL",Markham,,IL
"Chicago, IL",Matteson,,IL
"Chicago, IL",Monee,,IL
"Chicago, IL",Morris,Grundy County (IL),IL
"Chicago, IL",Naperville,DuPage County (IL),IL
"Chicago, IL",North Aurora,,IL
"Chicago, IL",Oakbrook Terrace,DuPage County (IL),IL
"Chicago, IL",Orland Park,Cook County (IL),IL
"Chicago, IL",Romeoville,Will County (IL),IL
"Chicago, IL",Romeoville,,IL
"Chicago, IL",Saint Charles,Kane County (IL),IL
"Chicago, IL",Schaumburg,Cook County (IL),IL
"Chicago, IL",Schiller Park,Cook County (IL),IL
"Chicago, IL",Shorewood,Will County (IL),IL
"Chicago, IL",South Holland,Cook County (IL),IL
"Chicago, IL",South Holland,,IL
"Chicago, IL",Sycamore,DeKalb County (IL),IL
"Chicago, IL",Tinley Park,Cook County (IL),IL
"Chicago, IL",Tinley Park,,IL
"Chicago, IL",Waukegan,,IL
"Chicago, IL",Willowbrook,,IL
"Cincinnati, OH-KY-IN",Blue Ash,Hamilton County (OH),OH
"Cincinnati, OH-KY-IN",Blue Ash,,OH
"Cincinnati, OH-KY-IN",Cincinnati,Clermont County (OH),OH
"Cincinnati, OH-KY-IN",Cincinnati,Hamilton County (OH),OH
"Cincinnati, OH-KY-IN",Cincinnati,,OH
"Cincinnati, OH-KY-IN",Dry Ridge,Grant County (KY),KY
"Cincinnati, OH-KY-IN",Dry Ridge,,KY
"Cincinnati, OH-KY-IN",Erlanger,Kenton County (KY),KY
"Cincinnati, OH-KY-IN",Fairfield,,OH
"Cincinnati, OH-KY-IN",Florence,Boone County (KY),KY
"Cincinnati, OH-KY-IN",Florence,,KY
"Cincinnati, OH-KY-IN",Franklin,Warren County (OH),OH
"Cincinnati, OH-KY-IN",Hebron,Boone County (KY),KY
"Cincinnati, OH-KY-IN",Lawrenceburg,Dearborn County (IN),IN
"Cincinnati, OH-KY-IN",Lawrenceburg,,IN
"Cincinnati, OH-KY-IN",Mason,Warren County (OH),OH
"Cincinnati, OH-KY-IN",Middletown,,OH
"Cincinnati, OH-KY-IN",Newport,Campbell County (KY),KY
"Cincinnati, OH-KY-IN",Oxford,Butler County (OH),OH
"Cincinnati, OH-KY-IN",Richwood,Boone County (KY),KY
"Cincinnati, OH-KY-IN",Sharonville,,OH
"Cincinnati, OH-KY-IN",Springboro,Warren County (OH),OH
"Cincinnati, OH-KY-IN",West Chester,Butler County (OH),OH
"Cincinnati, OH-KY-IN",West Chester,,OH
"Cincinnati, OH-KY-IN",Wilder,,KY
"Cleveland, OH",Austinburg,Ashtabula County (OH),OH
"Cleveland, OH",Avon,Lorain County (OH),OH
"Cleveland, OH",Avon,,OH
"Cleveland, OH",Beachwood,Cuyahoga County (OH),OH
"Cleveland, OH",Brunswick,Medina County (OH),OH
"Cleveland, OH",Brunswick,,OH
"Cleveland, OH",Cleveland,Cuyahoga County (OH),OH
"Cleveland, OH",Cleveland,,OH
"Cleveland, OH",Elyria,Lorain County (OH),OH
"Cleveland, OH",Independence,Cuyahoga County (OH),OH
"Cleveland, OH",Mayfield Heights,,OH
"Cleveland, OH",Medina,Medina County (OH),OH
"Cleveland, OH",Mentor,,OH
"Cleveland, OH",Middleburg Heights,Cuyahoga County (OH),OH
"Cleveland, OH",Oakwood Village,,OH
"Cleveland, OH",Painesville,,OH
"Cleveland, OH",Seville,Medina County (OH),OH
"Cleveland, OH",Wadsworth,Medina County (OH),OH
"Cleveland, OH",Wickliffe,Lake County (OH),OH
"Cleveland, OH",Wickliffe,,OH
Colorado Area,Alamosa,Alamosa County (CO),CO
Colorado Area,Aspen,,CO
Colorado Area,Avon,Eagle County (CO),CO
Colorado Area,Boulder,Boulder County (CO),CO
Colorado Area,Brush,Morgan County (CO),CO
Colorado Area,Burlington,Kit Carson County (CO),CO
Colorado Area,Burlington,,CO
Colorado Area,Canon City,Fremont County (CO),CO
Colorado Area,Carbondale,Garfield County (CO),CO
Colorado Area,Cortez,Montezuma County (CO),CO
Colorado Area,Craig,Moffat County (CO),CO
Colorado Area,Delta,Delta County (CO),CO
Colorado Area,Dillon,Summit County (CO),CO
Colorado Area,Durango,La Plata County (CO),CO
Colorado Area,Eagle,Eagle County (CO),CO
Colorado Area,Edwards,,CO
